time,main,oven,refg,kitchen,lite
460,131,0,0,0,1
461,130,0,0,0,1
462,133,0,0,0,1
463,132,0,0,0,1
464,134,0,0,0,1
465,135,0,0,0,1
466,132,0,0,0,1
467,134,0,0,0,1
468,131,0,0,0,1
469,135,0,0,0,1
470,131,0,0,0,1
471,134,0,0,0,1
472,146,0,0,0,1
473,149,0,0,0,1
474,145,0,0,0,1
475,143,0,0,0,1
476,144,0,0,0,1
477,132,0,0,0,1
478,132,0,0,0,1
479,132,0,0,0,1
480,130,0,0,0,1
481,134,0,0,0,1
482,134,0,0,0,1
483,133,0,0,0,1
484,132,0,0,0,1
485,131,0,0,0,1
486,132,0,0,0,1
487,132,0,0,0,1
488,132,0,0,0,1
489,132,0,0,0,1
490,131,0,0,0,1
491,131,0,0,0,1
492,131,0,0,0,1
493,133,0,0,0,1
494,134,0,0,0,1
495,136,0,0,0,1
496,137,0,0,0,1
497,132,0,0,0,1
498,131,0,0,0,1
499,132,0,0,0,1
500,131,0,0,0,1
501,132,0,0,0,1
502,132,0,0,0,1
503,131,0,0,0,1
504,133,0,0,0,1
505,131,0,0,0,1
506,132,0,0,0,1
507,133,0,0,0,1
508,131,0,0,0,1
509,130,0,0,0,1
510,132,0,0,0,1
511,132,0,0,0,1
512,130,0,0,0,1
513,133,0,0,0,1
514,132,0,0,0,1
515,132,0,0,0,1
516,131,0,0,0,1
517,132,0,0,0,1
518,133,0,0,0,1
519,131,0,0,0,1
520,135,0,0,0,1
521,132,0,0,0,1
522,131,0,0,0,1
523,132,0,0,0,1
524,131,0,0,0,1
525,132,0,0,0,1
526,134,0,0,0,1
527,131,0,0,0,1
528,130,0,0,0,1
529,132,0,0,0,1
530,132,0,0,0,1
531,131,0,0,0,1
532,132,0,0,0,1
533,131,0,0,0,1
534,132,0,0,0,1
535,129,0,0,0,1
536,135,0,0,0,1
537,131,0,0,0,1
538,132,0,0,0,1
539,130,0,0,0,1
540,133,0,0,0,1
541,133,0,0,0,1
542,131,0,0,0,1
543,132,0,0,0,1
544,134,0,0,0,1
545,132,0,0,0,1
546,137,0,0,0,1
547,134,0,0,0,1
548,132,0,0,0,1
549,131,0,0,0,1
550,136,0,0,0,1
551,131,0,0,0,1
552,131,0,0,0,1
553,131,0,0,0,1
554,132,0,0,0,1
555,131,0,0,0,1
556,131,0,0,0,1
557,137,0,0,0,1
558,136,0,0,0,1
559,136,0,0,0,1
560,131,0,0,0,1
561,133,0,0,0,1
562,131,0,0,0,1
563,134,0,0,0,1
564,132,0,0,0,1
565,133,0,0,0,1
566,131,0,0,0,1
567,131,0,0,0,1
568,130,0,0,0,1
569,135,0,0,0,1
570,133,0,0,0,1
571,131,0,0,0,1
572,131,0,0,0,1
573,131,0,0,0,1
574,131,0,0,0,1
575,134,0,0,0,1
576,131,0,0,0,1
577,134,0,0,0,1
578,134,0,0,0,1
579,134,0,0,0,1
580,135,0,0,0,1
581,136,0,0,0,1
582,139,0,0,0,1
583,138,0,0,0,1
584,134,0,0,0,1
585,367,0,1,0,1
586,341,0,1,0,1
587,334,0,1,0,1
588,331,0,1,0,1
589,329,0,1,0,1
590,328,0,1,0,1
591,329,0,1,0,1
592,329,0,1,0,1
593,327,0,1,0,1
594,330,0,1,0,1
595,324,0,1,0,1
596,325,0,1,0,1
597,329,0,1,0,1
598,324,0,1,0,1
599,324,0,1,0,1
600,324,0,1,0,1
601,324,0,1,0,1
602,323,0,1,0,1
603,319,0,1,0,1
604,327,0,1,0,1
605,317,0,1,0,1
606,320,0,1,0,1
607,321,0,1,0,1
608,245,0,1,0,0
609,242,0,1,0,0
610,240,0,1,0,0
611,242,0,1,0,0
612,236,0,1,0,0
613,239,0,1,0,0
614,240,0,1,0,0
615,235,0,1,0,0
616,240,0,1,0,0
617,236,0,1,0,0
618,238,0,1,0,0
619,238,0,1,0,0
620,238,0,1,0,0
621,241,0,1,0,0
622,236,0,1,0,0
623,234,0,1,0,0
624,237,0,1,0,0
625,235,0,1,0,0
626,236,0,1,0,0
627,236,0,1,0,0
628,236,0,1,0,0
629,233,0,1,0,0
630,236,0,1,0,0
631,234,0,1,0,0
632,235,0,1,0,0
633,232,0,1,0,0
634,235,0,1,0,0
635,234,0,1,0,0
636,52,0,0,0,0
637,51,0,0,0,0
638,53,0,0,0,0
639,51,0,0,0,0
640,52,0,0,0,0
641,52,0,0,0,0
642,51,0,0,0,0
643,56,0,0,0,0
644,54,0,0,0,0
645,51,0,0,0,0
646,53,0,0,0,0
647,55,0,0,0,0
648,52,0,0,0,0
649,51,0,0,0,0
650,52,0,0,0,0
651,52,0,0,0,0
652,52,0,0,0,0
653,53,0,0,0,0
654,51,0,0,0,0
655,54,0,0,0,0
656,52,0,0,0,0
657,53,0,0,0,0
658,57,0,0,0,0
659,52,0,0,0,0
660,56,0,0,0,0
661,51,0,0,0,0
662,51,0,0,0,0
663,54,0,0,0,0
664,55,0,0,0,0
665,52,0,0,0,0
666,56,0,0,0,0
667,51,0,0,0,0
668,55,0,0,0,0
669,52,0,0,0,0
670,56,0,0,0,0
671,51,0,0,0,0
672,53,0,0,0,0
673,53,0,0,0,0
674,54,0,0,0,0
675,52,0,0,0,0
676,54,0,0,0,0
677,52,0,0,0,0
678,52,0,0,0,0
679,56,0,0,0,0
680,52,0,0,0,0
681,51,0,0,0,0
682,50,0,0,0,0
683,52,0,0,0,0
684,51,0,0,0,0
685,52,0,0,0,0
686,53,0,0,0,0
687,52,0,0,0,0
688,51,0,0,0,0
689,53,0,0,0,0
690,51,0,0,0,0
691,51,0,0,0,0
692,54,0,0,0,0
693,52,0,0,0,0
694,54,0,0,0,0
695,52,0,0,0,0
696,52,0,0,0,0
697,53,0,0,0,0
698,52,0,0,0,0
699,52,0,0,0,0
700,53,0,0,0,0
701,54,0,0,0,0
702,56,0,0,0,0
703,55,0,0,0,0
704,53,0,0,0,0
705,55,0,0,0,0
706,55,0,0,0,0
707,52,0,0,0,0
708,52,0,0,0,0
709,52,0,0,0,0
710,51,0,0,0,0
711,52,0,0,0,0
712,52,0,0,0,0
713,51,0,0,0,0
714,52,0,0,0,0
715,55,0,0,0,0
716,55,0,0,0,0
717,55,0,0,0,0
718,54,0,0,0,0
719,52,0,0,0,0
720,51,0,0,0,0
721,51,0,0,0,0
722,52,0,0,0,0
723,51,0,0,0,0
724,51,0,0,0,0
725,51,0,0,0,0
726,56,0,0,0,0
727,53,0,0,0,0
728,52,0,0,0,0
729,54,0,0,0,0
730,54,0,0,0,0
731,52,0,0,0,0
732,51,0,0,0,0
733,53,0,0,0,0
734,52,0,0,0,0
735,52,0,0,0,0
736,54,0,0,0,0
737,52,0,0,0,0
738,51,0,0,0,0
739,52,0,0,0,0
740,56,0,0,0,0
741,54,0,0,0,0
742,52,0,0,0,0
743,51,0,0,0,0
744,51,0,0,0,0
745,51,0,0,0,0
746,51,0,0,0,0
747,50,0,0,0,0
748,53,0,0,0,0
749,51,0,0,0,0
750,51,0,0,0,0
751,54,0,0,0,0
752,55,0,0,0,0
753,52,0,0,0,0
754,52,0,0,0,0
755,53,0,0,0,0
756,53,0,0,0,0
757,50,0,0,0,0
758,54,0,0,0,0
759,52,0,0,0,0
760,53,0,0,0,0
761,52,0,0,0,0
762,283,0,1,0,0
763,270,0,1,0,0
764,249,0,1,0,0
765,255,0,1,0,0
766,244,0,1,0,0
767,251,0,1,0,0
768,250,0,1,0,0
769,245,0,1,0,0
770,246,0,1,0,0
771,244,0,1,0,0
772,243,0,1,0,0
773,245,0,1,0,0
774,250,0,1,0,0
775,247,0,1,0,0
776,245,0,1,0,0
777,243,0,1,0,0
778,237,0,1,0,0
779,239,0,1,0,0
780,239,0,1,0,0
781,243,0,1,0,0
782,238,0,1,0,0
783,238,0,1,0,0
784,237,0,1,0,0
785,242,0,1,0,0
786,237,0,1,0,0
787,240,0,1,0,0
788,240,0,1,0,0
789,236,0,1,0,0
790,234,0,1,0,0
791,244,0,1,0,0
792,235,0,1,0,0
793,234,0,1,0,0
794,236,0,1,0,0
795,236,0,1,0,0
796,233,0,1,0,0
797,235,0,1,0,0
798,234,0,1,0,0
799,236,0,1,0,0
800,235,0,1,0,0
801,238,0,1,0,0
802,230,0,1,0,0
803,233,0,1,0,0
804,234,0,1,0,0
805,51,0,0,0,0
806,51,0,0,0,0
807,56,0,0,0,0
808,53,0,0,0,0
809,51,0,0,0,0
810,54,0,0,0,0
811,54,0,0,0,0
812,52,0,0,0,0
813,56,0,0,0,0
814,56,0,0,0,0
815,54,0,0,0,0
816,53,0,0,0,0
817,54,0,0,0,0
818,55,0,0,0,0
819,52,0,0,0,0
820,52,0,0,0,0
821,52,0,0,0,0
822,53,0,0,0,0
823,51,0,0,0,0
824,53,0,0,0,0
825,50,0,0,0,0
826,51,0,0,0,0
827,52,0,0,0,0
828,54,0,0,0,0
829,52,0,0,0,0
830,52,0,0,0,0
831,52,0,0,0,0
832,52,0,0,0,0
833,52,0,0,0,0
834,53,0,0,0,0
835,53,0,0,0,0
836,53,0,0,0,0
837,55,0,0,0,0
838,57,0,0,0,0
839,55,0,0,0,0
840,51,0,0,0,0
841,51,0,0,0,0
842,52,0,0,0,0
843,51,0,0,0,0
844,53,0,0,0,0
845,54,0,0,0,0
846,52,0,0,0,0
847,53,0,0,0,0
848,54,0,0,0,0
849,53,0,0,0,0
850,55,0,0,0,0
851,53,0,0,0,0
852,53,0,0,0,0
853,53,0,0,0,0
854,53,0,0,0,0
855,52,0,0,0,0
856,51,0,0,0,0
857,52,0,0,0,0
858,50,0,0,0,0
859,55,0,0,0,0
860,55,0,0,0,0
861,52,0,0,0,0
862,53,0,0,0,0
863,57,0,0,0,0
864,56,0,0,0,0
865,53,0,0,0,0
866,55,0,0,0,0
867,56,0,0,0,0
868,54,0,0,0,0
869,54,0,0,0,0
870,58,0,0,0,0
871,54,0,0,0,0
872,53,0,0,0,0
873,55,0,0,0,0
874,56,0,0,0,0
875,54,0,0,0,0
876,54,0,0,0,0
877,57,0,0,0,0
878,55,0,0,0,0
879,53,0,0,0,0
880,54,0,0,0,0
881,53,0,0,0,0
882,52,0,0,0,0
883,55,0,0,0,0
884,54,0,0,0,0
885,54,0,0,0,0
886,56,0,0,0,0
887,54,0,0,0,0
888,53,0,0,0,0
889,55,0,0,0,0
890,55,0,0,0,0
891,54,0,0,0,0
892,54,0,0,0,0
893,54,0,0,0,0
894,53,0,0,0,0
895,52,0,0,0,0
896,54,0,0,0,0
897,54,0,0,0,0
898,56,0,0,0,0
899,54,0,0,0,0
900,55,0,0,0,0
901,55,0,0,0,0
902,56,0,0,0,0
903,56,0,0,0,0
904,54,0,0,0,0
905,55,0,0,0,0
906,54,0,0,0,0
907,52,0,0,0,0
908,52,0,0,0,0
909,52,0,0,0,0
910,51,0,0,0,0
911,51,0,0,0,0
912,53,0,0,0,0
913,52,0,0,0,0
914,51,0,0,0,0
915,52,0,0,0,0
916,52,0,0,0,0
917,52,0,0,0,0
918,52,0,0,0,0
919,53,0,0,0,0
920,51,0,0,0,0
921,53,0,0,0,0
922,53,0,0,0,0
923,55,0,0,0,0
924,54,0,0,0,0
925,54,0,0,0,0
926,54,0,0,0,0
927,50,0,0,0,0
928,51,0,0,0,0
929,52,0,0,0,0
930,280,0,1,0,0
931,263,0,1,0,0
932,251,0,1,0,0
933,249,0,1,0,0
934,253,0,1,0,0
935,250,0,1,0,0
936,249,0,1,0,0
937,248,0,1,0,0
938,247,0,1,0,0
939,250,0,1,0,0
940,246,0,1,0,0
941,249,0,1,0,0
942,246,0,1,0,0
943,246,0,1,0,0
944,243,0,1,0,0
945,244,0,1,0,0
946,242,0,1,0,0
947,241,0,1,0,0
948,245,0,1,0,0
949,237,0,1,0,0
950,245,0,1,0,0
951,237,0,1,0,0
952,240,0,1,0,0
953,239,0,1,0,0
954,235,0,1,0,0
955,239,0,1,0,0
956,239,0,1,0,0
957,237,0,1,0,0
958,236,0,1,0,0
959,236,0,1,0,0
960,239,0,1,0,0
961,236,0,1,0,0
962,234,0,1,0,0
963,234,0,1,0,0
964,235,0,1,0,0
965,234,0,1,0,0
966,231,0,1,0,0
967,233,0,1,0,0
968,233,0,1,0,0
969,235,0,1,0,0
970,232,0,1,0,0
971,236,0,1,0,0
972,236,0,1,0,0
973,58,0,0,0,0
974,59,0,0,0,0
975,56,0,0,0,0
976,56,0,0,0,0
977,54,0,0,0,0
978,53,0,0,0,0
979,54,0,0,0,0
980,53,0,0,0,0
981,55,0,0,0,0
982,55,0,0,0,0
983,54,0,0,0,0
984,56,0,0,0,0
985,55,0,0,0,0
986,56,0,0,0,0
987,55,0,0,0,0
988,53,0,0,0,0
989,54,0,0,0,0
990,54,0,0,0,0
991,52,0,0,0,0
992,56,0,0,0,0
993,57,0,0,0,0
994,58,0,0,0,0
995,55,0,0,0,0
996,56,0,0,0,0
997,56,0,0,0,0
998,57,0,0,0,0
999,54,0,0,0,0
1000,56,0,0,0,0
1001,56,0,0,0,0
1002,56,0,0,0,0
1003,56,0,0,0,0
1004,52,0,0,0,0
1005,54,0,0,0,0
1006,56,0,0,0,0
1007,53,0,0,0,0
1008,55,0,0,0,0
1009,52,0,0,0,0
1010,55,0,0,0,0
1011,55,0,0,0,0
1012,54,0,0,0,0
1013,56,0,0,0,0
1014,54,0,0,0,0
1015,54,0,0,0,0
1016,54,0,0,0,0
1017,94,0,0,0,0
1018,56,0,0,0,0
1019,55,0,0,0,0
1020,93,0,0,0,0
1021,53,0,0,0,0
1022,55,0,0,0,0
1023,51,0,0,0,0
1024,53,0,0,0,0
1025,54,0,0,0,0
1026,1615,0,0,1,0
1027,1613,0,0,1,0
1028,1621,0,0,1,0
1029,1619,0,0,1,0
1030,1603,0,0,1,0
1031,1604,0,0,1,0
1032,1606,0,0,1,0
1033,57,0,0,0,0
1034,1612,0,0,1,0
1035,57,0,0,0,0
1036,52,0,0,0,0
1037,1607,0,0,1,0
1038,55,0,0,0,0
1039,1607,0,0,1,0
1040,1598,0,0,1,0
1041,55,0,0,0,0
1042,1607,0,0,1,0
1043,53,0,0,0,0
1044,1602,0,0,1,0
1045,55,0,0,0,0
1046,55,0,0,0,0
1047,1594,0,0,1,0
1048,53,0,0,0,0
1049,1592,0,0,1,0
1050,57,0,0,0,0
1051,1592,0,0,1,0
1052,275,0,1,0,0
1053,1803,0,1,1,0
1054,250,0,1,0,0
1055,1787,0,1,1,0
1056,253,0,1,0,0
1057,1787,0,1,1,0
1058,247,0,1,0,0
1059,1781,0,1,1,0
1060,247,0,1,0,0
1061,1791,0,1,1,0
1062,249,0,1,0,0
1063,1781,0,1,1,0
1064,244,0,1,0,0
1065,1783,0,1,1,0
1066,242,0,1,0,0
1067,245,0,1,0,0
1068,244,0,1,0,0
1069,246,0,1,0,0
1070,243,0,1,0,0
1071,243,0,1,0,0
1072,241,0,1,0,0
1073,241,0,1,0,0
1074,245,0,1,0,0
1075,241,0,1,0,0
1076,242,0,1,0,0
1077,241,0,1,0,0
1078,237,0,1,0,0
1079,241,0,1,0,0
1080,238,0,1,0,0
1081,238,0,1,0,0
1082,242,0,1,0,0
1083,243,0,1,0,0
1084,241,0,1,0,0
1085,238,0,1,0,0
1086,238,0,1,0,0
1087,235,0,1,0,0
1088,241,0,1,0,0
1089,277,0,1,0,0
1090,278,0,1,0,0
1091,237,0,1,0,0
1092,239,0,1,0,0
1093,239,0,1,0,0
1094,237,0,1,0,0
1095,237,0,1,0,0
1096,235,0,1,0,0
1097,284,0,1,0,0
1098,262,0,1,0,0
1099,261,0,1,0,0
1100,286,0,1,0,0
1101,275,0,1,0,0
1102,254,0,1,0,0
1103,258,0,1,0,0
1104,256,0,1,0,0
1105,261,0,1,0,0
1106,263,0,1,0,0
1107,259,0,1,0,0
1108,263,0,1,0,0
1109,259,0,1,0,0
1110,80,0,0,0,0
1111,79,0,0,0,0
1112,80,0,0,0,0
1113,82,0,0,0,0
1114,77,0,0,0,0
1115,78,0,0,0,0
1116,84,0,0,0,0
1117,78,0,0,0,0
1118,88,0,0,0,0
1119,84,0,0,0,0
1120,86,0,0,0,0
1121,81,0,0,0,0
1122,106,0,0,0,0
1123,84,0,0,0,0
1124,81,0,0,0,0
1125,78,0,0,0,0
1126,84,0,0,0,0
1127,100,0,0,0,0
1128,84,0,0,0,0
1129,83,0,0,0,0
1130,81,0,0,0,0
1131,93,0,0,0,0
1132,81,0,0,0,0
1133,79,0,0,0,0
1134,81,0,0,0,0
1135,84,0,0,0,0
1136,78,0,0,0,0
1137,88,0,0,0,0
1138,79,0,0,0,0
1139,86,0,0,0,0
1140,80,0,0,0,0
1141,79,0,0,0,0
1142,80,0,0,0,0
1143,85,0,0,0,0
1144,82,0,0,0,0
1145,82,0,0,0,0
1146,80,0,0,0,0
1147,80,0,0,0,0
1148,81,0,0,0,0
