main,state,oven,refg,kitchen,lite,bath
254,5,0,6,56,191,1
253,5,0,6,55,191,1
256,5,0,6,58,191,1
254,5,0,6,56,191,1
254,5,0,6,57,190,1
254,5,0,6,56,191,1
254,5,0,6,56,191,1
256,5,0,6,58,191,1
253,5,0,6,55,191,1
253,5,0,6,55,191,1
253,5,0,6,54,192,1
254,5,0,6,55,192,1
251,5,0,6,53,191,1
255,5,0,6,57,191,1
257,5,0,6,58,192,1
257,5,0,6,59,191,1
256,5,0,6,58,191,1
254,5,0,6,56,191,1
251,5,0,6,53,191,1
252,5,0,6,54,191,1
253,5,0,6,55,191,1
252,5,0,6,53,192,1
254,5,0,6,56,191,1
251,5,0,6,53,191,1
250,5,0,6,52,191,1
251,5,0,6,53,191,1
254,5,0,6,57,190,1
255,5,0,6,57,191,1
252,5,0,6,54,191,1
254,5,0,6,56,191,1
251,5,0,6,53,191,1
255,5,0,6,56,192,1
254,5,0,6,55,192,1
256,5,0,6,58,191,1
251,5,0,6,53,191,1
253,5,0,6,55,191,1
252,5,0,6,54,191,1
252,5,0,6,54,191,1
254,5,0,6,55,192,1
252,5,0,6,55,190,1
254,5,0,6,56,191,1
252,5,0,6,54,191,1
256,5,0,6,58,191,1
252,5,0,6,55,190,1
256,5,0,6,58,191,1
255,5,0,6,57,191,1
258,5,0,6,60,191,1
257,5,0,6,59,191,1
255,5,0,6,57,191,1
254,5,0,6,56,191,1
251,5,0,6,54,190,1
254,5,0,6,56,191,1
256,5,0,6,58,191,1
255,5,0,6,58,190,1
256,5,0,6,58,191,1
254,5,0,6,56,191,1
255,5,0,6,57,191,1
254,5,0,6,57,190,1
254,5,0,6,56,191,1
257,5,0,6,59,191,1
254,5,0,6,57,190,1
254,5,0,6,56,191,1
254,5,0,6,56,191,1
255,5,0,6,57,191,1
255,5,0,6,57,191,1
256,5,0,6,58,191,1
254,5,0,6,56,191,1
255,5,0,6,57,191,1
252,5,0,6,55,190,1
254,5,0,6,56,191,1
254,5,0,6,56,191,1
255,5,0,6,57,191,1
257,5,0,6,59,191,1
255,5,0,6,57,191,1
255,5,0,6,57,191,1
255,5,0,6,58,190,1
254,5,0,6,56,191,1
254,5,0,6,56,191,1
256,5,0,6,58,191,1
254,5,0,6,56,191,1
254,5,0,6,56,191,1
256,5,0,6,58,191,1
255,5,0,6,57,191,1
255,5,0,6,57,191,1
256,5,0,6,58,191,1
255,5,0,6,57,191,1
255,5,0,6,57,191,1
257,5,0,6,59,191,1
254,5,0,6,56,191,1
256,5,0,6,58,191,1
254,5,0,6,56,191,1
255,5,0,6,58,190,1
253,5,0,6,56,190,1
255,5,0,6,57,191,1
256,5,0,6,58,191,1
254,5,0,6,56,191,1
254,5,0,6,56,191,1
252,5,0,6,55,190,1
253,5,0,6,56,190,1
254,5,0,6,57,190,1
256,5,0,6,58,191,1
254,5,0,6,57,190,1
255,5,0,6,58,190,1
254,5,0,6,57,190,1
254,5,0,6,57,190,1
253,5,0,6,56,190,1
255,5,0,6,58,190,1
256,5,0,6,58,191,1
252,5,0,6,55,190,1
254,5,0,6,57,190,1
252,5,0,6,55,190,1
254,5,0,6,57,190,1
254,5,0,6,57,190,1
257,5,0,6,58,192,1
256,5,0,6,58,191,1
255,5,0,6,57,191,1
253,5,0,6,56,190,1
253,5,0,6,56,190,1
252,5,0,6,55,190,1
253,5,0,6,56,190,1
254,5,0,6,57,190,1
253,5,0,6,56,190,1
257,5,0,6,59,191,1
252,5,0,6,55,190,1
254,5,0,6,57,190,1
254,5,0,6,56,191,1
251,5,0,6,54,190,1
252,5,0,6,55,190,1
253,5,0,6,56,190,1
252,5,0,6,55,190,1
251,5,0,6,54,190,1
252,5,0,6,55,190,1
252,5,0,6,54,191,1
252,5,0,6,54,191,1
253,5,0,6,55,191,1
251,5,0,6,54,190,1
252,5,0,6,55,190,1
251,5,0,6,54,190,1
251,5,0,6,54,190,1
252,5,0,6,55,190,1
253,5,0,6,56,190,1
252,5,0,6,55,190,1
251,5,0,6,54,190,1
253,5,0,6,55,191,1
251,5,0,6,54,190,1
251,5,0,6,54,190,1
252,5,0,6,54,191,1
252,5,0,6,55,190,1
251,5,0,6,54,190,1
251,5,0,6,54,190,1
252,5,0,6,54,191,1
254,5,0,6,56,191,1
254,5,0,6,56,191,1
251,5,0,6,54,190,1
254,5,0,6,55,192,1
253,5,0,6,55,191,1
251,5,0,6,54,190,1
255,5,0,6,57,191,1
251,5,0,6,54,190,1
252,5,0,6,55,190,1
254,5,0,6,56,191,1
254,5,0,6,56,191,1
251,5,0,6,54,190,1
252,5,0,6,55,190,1
253,5,0,6,56,190,1
252,5,0,6,55,190,1
254,5,0,6,56,191,1
253,5,0,6,55,191,1
251,5,0,6,54,190,1
253,5,0,6,55,191,1
255,5,0,6,57,191,1
253,5,0,6,55,191,1
253,5,0,6,56,190,1
253,5,0,6,56,190,1
252,5,0,6,54,191,1
255,5,0,6,56,192,1
1906,14,0,6,63,189,1648
1889,14,0,5,65,190,1629
1884,14,0,6,63,191,1624
1881,14,0,6,62,190,1623
1884,14,0,6,65,190,1623
1877,14,0,6,61,190,1620
1875,14,0,6,60,189,1620
1878,14,0,6,62,191,1619
1878,14,0,6,61,190,1621
1880,14,0,6,63,189,1622
1875,14,0,6,55,192,1622
1879,14,0,6,62,191,1620
1876,14,0,6,60,191,1619
1880,14,0,6,64,190,1620
1878,14,0,6,63,190,1619
1877,14,0,6,60,192,1619
1872,14,0,5,59,190,1618
1873,14,0,6,60,189,1618
1872,14,0,5,59,192,1616
1869,14,0,5,59,189,1616
1874,14,0,6,62,190,1616
1872,14,0,6,60,190,1616
1869,14,0,5,60,190,1614
1869,14,0,6,60,189,1614
1871,14,0,6,61,190,1614
1871,14,0,6,59,192,1614
1871,14,0,6,60,189,1616
1868,14,0,6,57,190,1615
1870,14,0,6,59,189,1616
1872,14,0,6,60,190,1616
1873,14,0,6,61,190,1616
1873,14,0,6,60,190,1617
1876,14,0,6,61,191,1618
1874,14,0,6,58,192,1618
1873,14,0,6,59,191,1617
1867,14,0,6,53,191,1617
1871,14,0,6,57,190,1618
1872,14,0,6,58,190,1618
1870,14,0,6,56,191,1617
1875,14,0,6,61,191,1617
1877,14,0,6,63,192,1616
1870,14,0,6,58,191,1615
1872,14,0,6,58,191,1617
1870,14,0,6,57,190,1617
1871,14,0,6,57,191,1617
1870,14,0,6,56,190,1618
1872,14,0,6,57,191,1618
1871,14,0,6,58,190,1617
1867,14,0,5,55,189,1618
1870,14,0,6,57,190,1617
1870,14,0,6,57,189,1618
1870,14,0,6,56,189,1619
245,5,0,6,49,190,0
247,5,0,6,49,191,1
248,5,0,6,49,192,1
247,5,0,6,49,191,1
247,5,0,6,49,191,1
248,5,0,6,48,193,1
246,5,0,6,48,191,1
247,5,0,6,49,191,1
247,5,0,6,49,191,1
248,5,0,6,49,192,1
247,5,0,6,48,192,1
248,5,0,6,50,191,1
246,5,0,6,48,191,1
247,5,0,6,48,192,1
245,5,0,6,48,190,1
248,5,0,6,49,192,1
248,5,0,6,50,191,1
246,5,0,6,48,191,1
247,5,0,6,49,191,1
247,5,0,6,49,191,1
248,5,0,6,50,191,1
247,5,0,6,48,192,1
250,5,0,6,51,192,1
246,5,0,6,48,191,1
246,5,0,6,48,191,1
247,5,0,6,48,192,1
246,5,0,6,48,191,1
247,5,0,6,49,191,1
250,5,0,6,51,192,1
248,5,0,6,49,192,1
247,5,0,6,48,192,1
248,5,0,6,50,191,1
250,5,0,6,50,193,1
246,5,0,6,48,191,1
249,5,0,6,49,193,1
247,5,0,6,49,191,1
183,3,0,6,50,126,1
181,3,0,6,48,126,1
183,3,0,6,50,126,1
184,3,0,6,51,126,1
183,3,0,6,50,126,1
182,3,0,6,49,126,1
183,3,0,6,50,126,1
182,3,0,6,49,126,1
182,3,0,6,49,126,1
182,3,0,6,49,126,1
183,3,0,6,50,126,1
183,3,0,6,50,126,1
184,3,0,6,51,126,1
182,3,0,6,48,127,1
183,3,0,6,50,126,1
182,3,0,6,49,126,1
184,3,0,6,51,126,1
182,3,0,6,49,126,1
181,3,0,6,49,125,1
184,3,0,6,51,126,1
183,3,0,6,50,126,1
183,3,0,6,50,126,1
184,3,0,6,51,126,1
182,3,0,6,49,126,1
183,3,0,6,50,126,1
183,3,0,6,50,126,1
180,3,0,6,48,125,1
183,3,0,6,50,126,1
183,3,0,6,50,126,1
183,3,0,6,50,126,1
181,3,0,6,49,125,1
181,3,0,6,48,126,1
183,3,0,6,50,126,1
183,3,0,6,50,126,1
181,3,0,6,48,126,1
182,3,0,6,49,126,1
182,3,0,6,49,126,1
184,3,0,6,51,126,1
181,3,0,6,48,126,1
182,3,0,6,49,126,1
181,3,0,6,48,126,1
183,3,0,6,50,126,1
183,3,0,6,50,126,1
182,3,0,6,50,125,1
182,3,0,6,50,125,1
185,3,0,6,52,126,1
182,3,0,6,50,125,1
183,3,0,6,50,126,1
179,3,0,6,46,126,1
180,3,0,6,47,126,1
181,3,0,6,48,126,1
181,3,0,6,48,126,1
179,3,0,6,46,126,1
179,3,0,6,46,126,1
182,3,0,6,49,126,1
178,3,0,6,45,126,1
179,3,0,6,46,126,1
179,3,0,6,46,126,1
180,3,0,6,47,126,1
179,3,0,6,46,126,1
179,3,0,6,46,126,1
180,3,0,6,48,125,1
179,3,0,6,46,126,1
180,3,0,6,47,126,1
181,3,0,6,48,126,1
179,3,0,6,46,126,1
179,3,0,6,46,126,1
177,3,0,6,45,125,1
179,3,0,6,46,126,1
185,3,0,6,52,126,1
179,3,0,6,46,126,1
178,3,0,6,45,126,1
179,3,0,6,46,126,1
179,3,0,6,46,126,1
179,3,0,6,46,126,1
178,3,0,6,46,125,1
183,3,0,6,50,126,1
179,3,0,6,47,125,1
182,3,0,6,50,125,1
183,3,0,6,50,126,1
178,3,0,6,45,126,1
177,3,0,6,45,125,1
182,3,0,6,49,126,1
181,3,0,6,48,126,1
181,3,0,6,48,126,1
182,3,0,6,49,126,1
183,3,0,6,51,125,1
180,3,0,6,47,126,1
185,3,0,6,52,126,1
177,3,0,6,45,125,1
179,3,0,6,46,126,1
182,3,0,6,49,126,1
180,3,0,6,47,126,1
179,3,0,6,46,126,1
184,3,0,6,52,125,1
179,3,0,6,47,125,1
180,3,0,7,47,125,1
181,3,0,6,49,125,1
178,3,0,6,46,125,1
179,3,0,6,46,126,1
178,3,0,6,45,126,1
179,3,0,6,47,125,1
178,3,0,6,46,125,1
178,3,0,6,46,125,1
178,3,0,6,46,125,1
180,3,0,6,48,125,1
177,3,0,6,45,125,1
178,3,0,6,45,126,1
180,3,0,6,47,126,1
183,3,0,6,50,126,1
178,3,0,6,46,125,1
178,3,0,6,46,125,1
179,3,0,6,47,125,1
179,3,0,6,46,126,1
180,3,0,6,48,125,1
177,3,0,6,45,125,1
178,3,0,6,46,125,1
179,3,0,6,46,126,1
180,3,0,6,47,126,1
177,3,0,6,45,125,1
180,3,0,6,48,125,1
178,3,0,6,45,126,1
177,3,0,6,45,125,1
179,3,0,6,46,126,1
179,3,0,6,46,126,1
179,3,0,6,46,126,1
178,3,0,6,45,126,1
177,3,0,6,45,125,1
178,3,0,6,46,125,1
181,3,0,6,49,125,1
178,3,0,6,45,126,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
178,3,0,6,45,126,1
181,3,0,6,48,126,1
178,3,0,6,45,126,1
180,3,0,6,47,126,1
178,3,0,6,45,126,1
182,3,0,6,49,126,1
178,3,0,6,45,126,1
179,3,0,6,46,126,1
181,3,0,6,48,126,1
181,3,0,6,48,126,1
178,3,0,6,45,126,1
179,3,0,6,46,126,1
181,3,0,6,48,126,1
181,3,0,6,48,126,1
178,3,0,6,46,125,1
180,3,0,6,48,125,1
183,3,0,6,50,126,1
180,3,0,6,47,126,1
178,3,0,6,46,125,1
181,3,0,6,48,126,1
180,3,0,6,47,126,1
182,3,0,6,49,126,1
178,3,0,6,45,126,1
180,3,0,6,47,126,1
180,3,0,6,48,125,1
181,3,0,6,49,125,1
181,3,0,6,48,126,1
183,3,0,6,50,126,1
177,3,0,6,45,125,1
178,3,0,6,45,126,1
180,3,0,6,47,126,1
178,3,0,6,45,126,1
178,3,0,6,45,126,1
178,3,0,6,45,126,1
181,3,0,6,48,126,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
177,3,0,6,45,125,1
178,3,0,6,46,125,1
178,3,0,6,45,126,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
178,3,0,6,45,126,1
180,3,0,6,47,126,1
177,3,0,6,45,125,1
177,3,0,6,44,126,1
178,3,0,6,46,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
179,3,0,6,47,125,1
181,3,0,6,48,126,1
179,3,0,6,47,125,1
177,3,0,6,45,125,1
177,3,0,6,44,126,1
177,3,0,6,44,126,1
176,2,0,6,44,125,1
179,3,0,6,46,126,1
179,3,0,6,46,126,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
178,3,0,6,45,126,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
180,3,0,6,48,125,1
180,3,0,6,48,125,1
178,3,0,6,46,125,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
179,3,0,6,47,125,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
180,3,0,6,48,125,1
178,3,0,6,46,125,1
180,3,0,6,48,125,1
176,2,0,6,44,125,1
179,3,0,6,47,125,1
180,3,0,6,48,125,1
178,3,0,6,45,126,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
178,3,0,6,46,125,1
179,3,0,6,47,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
178,3,0,6,45,126,1
178,3,0,6,46,125,1
180,3,0,6,47,126,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
178,3,0,6,45,126,1
178,3,0,6,45,126,1
177,3,0,6,44,126,1
177,3,0,6,44,126,1
178,3,0,6,45,126,1
179,3,0,6,47,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
179,3,0,6,47,125,1
177,3,0,6,44,126,1
180,3,0,6,47,126,1
177,3,0,6,44,126,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
177,3,0,6,44,126,1
177,3,0,6,45,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
179,3,0,6,47,125,1
183,3,0,6,50,126,1
177,3,0,6,45,125,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
178,3,0,6,45,126,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
180,3,0,6,48,125,1
179,3,0,6,47,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
179,3,0,6,47,125,1
180,3,0,6,48,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
180,3,0,6,48,125,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
180,3,0,6,48,125,1
176,2,0,6,44,125,1
180,3,0,6,48,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
177,3,0,6,44,126,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
178,3,0,6,46,125,1
175,2,0,6,43,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
179,3,0,6,47,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
180,3,0,6,48,125,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
179,3,0,6,47,125,1
177,3,0,6,45,125,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
180,3,0,6,48,125,1
178,3,0,6,46,125,1
177,3,0,6,45,125,1
178,3,0,6,46,125,1
181,3,0,6,49,125,1
178,3,0,6,46,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
180,3,0,6,48,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
179,3,0,6,47,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
175,2,0,6,44,124,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
178,3,0,6,46,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
177,3,0,6,45,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
177,3,0,6,46,124,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
180,3,0,6,48,125,1
175,2,0,6,43,125,1
174,2,0,6,43,124,1
178,3,0,6,46,125,1
175,2,0,6,43,125,1
176,2,0,6,44,125,1
179,3,0,6,47,125,1
178,3,0,6,46,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
180,3,0,6,48,125,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
179,3,0,6,47,125,1
177,3,0,6,45,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
177,3,0,6,45,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
178,3,0,6,46,125,1
175,2,0,6,43,125,1
178,3,0,6,46,125,1
179,3,0,6,47,125,1
178,3,0,6,46,125,1
177,3,0,6,45,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
178,3,0,6,46,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
175,2,0,6,43,125,1
174,2,0,6,43,125,0
175,2,0,6,43,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
176,2,0,6,44,125,1
179,3,0,7,46,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
177,3,0,6,45,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
178,3,0,6,46,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
175,2,0,6,43,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
176,2,0,6,44,125,1
176,2,0,6,44,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
179,3,0,6,47,125,1
178,3,0,6,46,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
180,3,0,6,48,125,1
176,2,0,6,44,125,1
178,3,0,6,46,125,1
180,3,0,6,48,125,1
183,3,0,6,50,126,1
179,3,0,6,47,125,1
180,3,0,6,48,125,1
180,3,0,6,48,125,1
176,2,0,6,44,125,1
181,3,0,6,49,125,1
180,3,0,6,48,125,1
180,3,0,6,48,125,1
179,3,0,6,47,125,1
181,3,0,6,49,125,1
178,3,0,6,46,125,1
180,3,0,6,48,125,1
179,3,0,6,47,125,1
182,3,0,6,50,125,1
176,2,0,6,44,125,1
179,3,0,6,47,125,1
178,3,0,6,46,125,1
177,3,0,6,45,125,1
180,3,0,6,48,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
179,3,0,6,47,125,1
180,3,0,6,48,125,1
178,3,0,6,46,125,1
175,2,0,6,43,125,1
176,2,0,6,44,125,1
181,3,0,6,48,126,1
179,3,0,6,47,125,1
176,2,0,6,44,125,1
175,2,0,6,43,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
178,3,0,6,46,125,1
178,3,0,6,46,125,1
177,3,0,6,45,125,1
175,2,0,6,43,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
182,3,0,6,50,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
177,3,0,6,45,125,1
176,2,0,6,44,125,1
179,3,0,6,47,125,1
175,2,0,6,43,125,1
179,3,0,6,47,125,1
179,3,0,6,47,125,1
180,3,0,6,48,125,1
178,3,0,6,46,125,1
735,12,2,559,46,126,2
400,9,0,227,46,126,1
413,9,0,239,47,126,1
410,9,0,238,45,126,1
409,9,0,235,47,126,1
405,9,0,234,44,126,1
407,9,0,232,48,126,1
401,9,0,228,46,126,1
388,9,0,215,46,126,1
390,9,0,214,49,126,1
383,9,0,209,47,126,1
376,9,0,205,44,126,1
383,9,0,207,49,126,1
382,9,0,207,48,126,1
378,9,0,207,44,126,1
380,9,0,205,48,126,1
380,9,0,206,47,126,1
378,9,0,206,45,126,1
380,9,0,205,48,126,1
380,9,0,204,49,126,1
377,9,0,204,46,126,1
381,9,0,205,49,126,1
376,9,0,200,49,126,1
376,9,0,202,47,126,1
374,9,0,200,47,126,1
379,9,0,203,49,126,1
373,9,0,200,46,126,1
376,9,0,203,46,126,1
375,9,0,202,45,127,1
379,9,0,202,49,127,1
377,9,0,200,49,127,1
376,9,0,200,48,127,1
373,9,0,202,44,126,1
371,9,0,198,46,126,1
374,9,0,200,47,126,1
373,9,0,201,45,126,1
375,9,0,198,50,126,1
372,9,0,200,45,126,1
374,9,0,200,47,126,1
372,9,0,198,47,126,1
371,9,0,201,43,126,1
372,9,0,198,47,126,1
371,9,0,197,47,126,1
374,9,0,199,48,126,1
371,9,0,198,46,126,1
372,9,0,197,48,126,1
372,9,0,199,46,126,1
372,9,0,199,46,126,1
369,8,0,197,45,126,1
368,8,0,197,44,126,1
369,8,0,195,47,126,1
373,9,0,200,46,126,1
373,9,0,198,48,126,1
365,8,0,195,43,126,1
370,8,0,197,46,126,1
369,8,0,197,45,126,1
371,9,0,199,45,126,1
373,9,0,198,48,126,1
370,8,0,197,45,127,1
372,9,0,197,47,127,1
370,8,0,194,48,127,1
368,8,0,197,44,126,1
370,8,0,197,46,126,1
368,8,0,194,47,126,1
368,8,0,195,46,126,1
368,8,0,198,43,126,1
368,8,0,197,44,126,1
369,8,0,194,48,126,1
369,8,0,196,46,126,1
373,9,0,198,48,126,1
370,8,0,197,46,126,1
368,8,0,195,46,126,1
370,8,0,197,46,126,1
367,8,0,195,45,126,1
369,8,0,194,48,126,1
369,8,0,196,46,126,1
373,9,0,196,50,126,1
371,9,0,196,48,126,1
368,8,0,197,44,126,1
369,8,0,195,47,126,1
367,8,0,192,48,126,1
368,8,0,195,46,126,1
370,8,0,197,46,126,1
369,8,0,194,48,126,1
367,8,0,193,47,126,1
369,8,0,195,47,126,1
372,9,0,196,48,127,1
365,8,0,193,45,126,1
368,8,0,195,46,126,1
368,8,0,196,45,126,1
368,8,0,194,47,126,1
368,8,0,192,48,127,1
366,8,0,194,45,126,1
368,8,0,196,45,126,1
366,8,0,193,46,126,1
364,8,0,191,46,126,1
366,8,0,194,45,126,1
367,8,0,192,48,126,1
364,8,0,192,45,126,1
366,8,0,194,45,126,1
367,8,0,195,45,126,1
363,8,0,193,43,126,1
362,8,0,190,45,126,1
365,8,0,195,43,126,1
364,8,0,194,43,126,1
367,8,0,191,49,126,1
366,8,0,191,48,126,1
368,8,0,193,48,126,1
369,8,0,194,48,126,1
368,8,0,192,49,126,1
364,8,0,190,47,126,1
367,8,0,193,47,126,1
371,9,0,194,50,126,1
370,8,0,192,51,126,1
